Gaia no Monshou (J)	大地纹章(日)
Galaga '88 (J)	小蜜蜂 '88(日)
Galaga '90 (U)	小蜜蜂 '90(美)
Ganbare! Golf Boys (J)	高尔夫少年(日)
Gekisha Boy (J)
Genji Tsuushin Agedama (J)	通讯少年(日)
Genpei Toumaden (J)	源平讨魔传(日)
Genpei Toumaden Ni no Maki (J)	源平讨魔传(日)
Ghost Manor (U)	幽魂领地(美)
Gokuraku! Chuuka Taisen (J)	中华大仙(日)
Gomola Speed (J)	毛毛虫(日)
Gradius (J)	宇宙巡航舰(日)
Gunboat (U)	激战惩(美)
Gunhed - Hudson Gunhed Taikai (J)	机甲战士特别版(日)
Gunhed (J)	机甲战士(日)
Hana Taaka Daka! (J)	射击天狗
Hanii in the Sky (J)	空中甜心(日)
Hanii on the Road (J)	空中甜心(日)
Hatris (J)	帽子方块(日)
Heavy Unit (J)	机动劲旅(日)
Hisou Kihei - Xserd (J)	飞装骑兵(日)
Hit the Ice - VHL the Official Video Hockey League (J)	冰上曲棍球(日)
Hit the Ice - VHL the Official Video Hockey League (U)	冰上曲棍球(美)
Honoo no Toukyuuji Dodge Danpei (J)	斗球儿弹平(日)
Idol Hanafuda Fan Club (J)	美少女麻雀(日)
Image Fight (J)	幻影战机(日)
Impossamole (U)	浣熊超人(美)
J. League Greatest Eleven (J)	J联盟足球赛(日)
J.J. & Jeff (U)	JJ与杰夫(美)
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf (J)	杰克高尔夫-18洞 (日)
Jack Nicklaus' Turbo Golf (U)	杰克高尔夫-加强版(美)
Jackie Chan (J)	成龙功夫(日)
Jackie Chan's Action Kung Fu (U)	成龙功夫(美)
Jigoku Meguri (J)	Jigoku Meguri(日)
Jinmu Denshou (J) [a]	神武传承(日) [a]
Jinmu Denshou (J)	神武传承(日)
Juuouki (J) [a]	兽王记(日)[a]
Juuouki (J)	兽王记(日)
Kaizou Choujin Shubibinman (J)	改造超人(日)
Kaizou Choujin Shubibinman 2 - Aratanaru Teki (J)	改造超人2(日)
Kato Chan & Ken Chan (J)	爆笑人(日)
Kattobi! Takuhai Kun (J)
Keith Courage in Alpha Zones (U)	希腊斗士基思(魔神英雄传)(美)
KickBall (J)	场式足球(日)
Kiki Kaikai (J)	奇奇怪界(日)
King of Casino (J)	赌场之王(日)
King of Casino (U)	赌场之王(美)
Klax (J)	立体方块(日)
Klax (U)	立体方块(美)
Knight Rider Special (J)	霹雳游侠(日)
Kore ga Pro Yakyuu '89 (J)
Kore ga Pro Yakyuu '90 (J)
Kung Fu, The (J)
Kyuukyoku Mahjong - Idol Graphics (J)	究极麻雀(日)
Kyuukyoku Mahjong II (J)	究极麻雀2(日)
Kyuukyoku Tiger (J)	究极虎(日)
Lady Sword (J) [a]	美少女之剑(日)[a]
Lady Sword (J)	美少女之剑(日)
Legend of Hero Tonma (J)	汤姆历险记(日)
Legend of Hero Tonma (U)	汤姆历险记(美)
Legendary Axe II, The (U)	战斧传说2(美)
Legendary Axe, The (U)	战斧传说(美)
Lode Runner - Lost Labyrinth (J)	矿脉(日)
Madou Ou - Granzooto (Super Grafx) (J)
Maerchen Maze (J)	艾丽斯梦游仙境(日)
Magical Chase (J)	小魔女(日)
Magical Chase (U)	小魔女(美)
Mahjong Gakuen - Touma Soushirou Toujou (J)	麻雀学园东间风四郎(日)
Mahjong Gakuen Mild - Touma Soushirou Toujou (J) [a]	麻雀学园(日)[a]
Mahjong Gakuen Mild - Touma Soushirou Toujou (J)	麻雀学园(日)
Mahjong Gokuu Special (J)	麻雀悟空天竺特别版(日)
Mahjong Haou Den - Kaiser's Quest (J)
Mahjong Shikyaku Retsuden - Mahjong Wars (J)	麻雀战争(日)
Maison Ikkoku (J)
Majin Eiyuu Den Wataru (J)	魔神英雄传(日)
Makai Hakken Den Shada (J)	魔界八犬传(日)
Makai Prince Dorabocchan (J)	魔界王子(日)
Makyou Densetsu (J)	魔境传说(日)
Maniac Puroresu - Asu heno Tatakai (J)
Mesopotamia (J)	弹弓怪(日)
Metal Stoker (J)	铁甲战车(日)
Military Madness (U)	疯狂军队(美)
Mizubaku Dai Bouken (J)
Momotarou Densetsu Gaiden Dai 1 Shuu (J)	桃太郎传说外传(日)
Momotarou Densetsu II (J)	桃太郎传说２(日)
Momotarou Densetsu Turbo (J)	桃太郎传说加强版(日)
Momotarou Katsugeki (J)	桃太郎活剧(日)
Monster Puroresu (J)
Morita Shougi PC (J)	森田将棋(日)
Moto Roader (J)	未来赛车(日)
Moto Roader (U)	未来赛车(美)
Moto Roader II (J) [a]	未来赛车2(日) [a]
Moto Roader II (J)	未来赛车2(日)
Mr. Heli no Daibouken (J) [a]	亨利先生(日) [a]
Mr. Heli no Daibouken (J)	亨利先生(日)
Narazumono Sentai Butai - Bloody Wolf (J)	血腥风暴(日)
Naxat Open (J)	Naxat公开赛(日)
Naxat Stadium (J)	Naxat棒球(日)
Nazo no Mascarade (J)	化妆舞会之谜(日)
Necromancer (J)
Necros no Yousai (J)	尼克罗斯要塞(日)
Nectaris (J)	太空模拟战(日)
Nekketsu Koukou Dodgeball Bu - PC Bangai Hen (J)	热血足球(日)
Nekketsu Koukou Dodgeball Bu - Soccer PC Hen (J)	热血躲避球 (热血高校)(日)
Neutopia (J)	世界冒险记(日)
Neutopia (U)	世界冒险记(美)
Neutopia II (J)	世界冒险记2(日)
Neutopia II (U)	世界冒险记2(美)
New Adventure Island (U)	新冒险岛(美)
